Tag	Count	First used	First video	Last used	Last video
the grind	1	2018-11-16	B_ExqPea_6I	2018-11-16	B_ExqPea_6I
pilot	4	2018-11-30	QsUv8yjctUo	2021-04-01	9wbMdm6xpJM
seawolves	1	2018-11-30	QsUv8yjctUo	2018-11-30	QsUv8yjctUo
hal3	1	2018-11-30	QsUv8yjctUo	2018-11-30	QsUv8yjctUo
defcor	178	2018-12-06	1-YoC8JUolE	2023-02-02	Gp-ZCDOS-nk
self improvement	2	2018-12-06	1-YoC8JUolE	2018-12-26	FtYKlYXJrH0
dragons	1	2018-12-13	FU8IwII8hhc	2018-12-13	FU8IwII8hhc
lobster	1	2018-12-13	FU8IwII8hhc	2018-12-13	FU8IwII8hhc
make your bed	2	2018-12-13	FU8IwII8hhc	2021-07-15	cG_i1I1V8q0
gulag	2	2018-12-13	FU8IwII8hhc	2018-12-20	swWMumjeNBg
responsibility	1	2018-12-13	FU8IwII8hhc	2018-12-13	FU8IwII8hhc
jordan peterson book	1	2018-12-20	swWMumjeNBg	2018-12-20	swWMumjeNBg
Aleksandr Solzhenitsyn	1	2018-12-20	swWMumjeNBg	2018-12-20	swWMumjeNBg
Archipelago	1	2018-12-20	swWMumjeNBg	2018-12-20	swWMumjeNBg
hope	1	2018-12-20	swWMumjeNBg	2018-12-20	swWMumjeNBg
russians	1	2018-12-20	swWMumjeNBg	2018-12-20	swWMumjeNBg
stalin	1	2018-12-20	swWMumjeNBg	2018-12-20	swWMumjeNBg
germans	1	2018-12-20	swWMumjeNBg	2018-12-20	swWMumjeNBg
carreer	1	2018-12-26	FtYKlYXJrH0	2018-12-26	FtYKlYXJrH0
convict	1	2019-01-03	pILRCfi0LiU	2019-01-03	pILRCfi0LiU
railroad	1	2019-01-03	pILRCfi0LiU	2019-01-03	pILRCfi0LiU
hobo	1	2019-01-03	pILRCfi0LiU	2019-01-03	pILRCfi0LiU
panzram	1	2019-01-03	pILRCfi0LiU	2019-01-03	pILRCfi0LiU
machiavelli	2	2019-01-09	8q31tAPep-g	2019-01-24	uZNUw8W14yk
warfare	1	2019-01-09	8q31tAPep-g	2019-01-09	8q31tAPep-g
dichotomy of leadership	162	2019-01-09	8q31tAPep-g	2023-02-02	Gp-ZCDOS-nk
nyt bestseller	1	2019-01-09	8q31tAPep-g	2019-01-09	8q31tAPep-g
podcaster	1	2019-01-09	8q31tAPep-g	2019-01-09	8q31tAPep-g
live podcast	1	2019-01-16	__6WUZBofxA	2019-01-16	__6WUZBofxA
new york city	1	2019-01-16	__6WUZBofxA	2019-01-16	__6WUZBofxA
good evening	1	2019-01-16	__6WUZBofxA	2019-01-16	__6WUZBofxA
broadway	1	2019-01-16	__6WUZBofxA	2019-01-16	__6WUZBofxA
prince	1	2019-01-24	uZNUw8W14yk	2019-01-24	uZNUw8W14yk
jocko store	38	2019-01-24	uZNUw8W14yk	2019-11-21	TlAoAZIAxQI
hue	1	2019-01-31	yNMT9n6MXA4	2019-01-31	yNMT9n6MXA4
hue city	1	2019-01-31	yNMT9n6MXA4	2019-01-31	yNMT9n6MXA4
trident	1	2019-02-06	MAo0wz91lt8	2019-02-06	MAo0wz91lt8
jason redman	1	2019-02-06	MAo0wz91lt8	2019-02-06	MAo0wz91lt8
ranger school	1	2019-02-06	MAo0wz91lt8	2019-02-06	MAo0wz91lt8
winning	1	2019-02-14	J1Uv68PIUho	2019-02-14	J1Uv68PIUho
soldier	2	2019-02-14	J1Uv68PIUho	2021-03-17	flgmAYraL0o
we go on	1	2019-02-14	J1Uv68PIUho	2019-02-14	J1Uv68PIUho
soy sauce dish	1	2019-02-28	PcHXiStlZ3M	2019-02-28	PcHXiStlZ3M
dishes	1	2019-02-28	PcHXiStlZ3M	2019-02-28	PcHXiStlZ3M
customs	1	2019-02-28	PcHXiStlZ3M	2019-02-28	PcHXiStlZ3M
bikini	1	2019-02-28	PcHXiStlZ3M	2019-02-28	PcHXiStlZ3M
speedo	1	2019-02-28	PcHXiStlZ3M	2019-02-28	PcHXiStlZ3M
master chief	1	2019-03-08	5qL7_NpcoeU	2019-03-08	5qL7_NpcoeU
sniper	3	2019-03-08	5qL7_NpcoeU	2020-09-10	CFeE_IbRw1o
slippery slope	1	2019-03-20	WB15cc8xPF8	2019-03-20	WB15cc8xPF8
subordinate	1	2019-03-27	UG1fmSKw_Qg	2019-03-27	UG1fmSKw_Qg
work	3	2019-03-27	UG1fmSKw_Qg	2020-02-06	5GBqd-Od7ZE
employment	2	2019-03-27	UG1fmSKw_Qg	2019-05-15	HL1LBA6D37E
execute	1	2019-03-27	UG1fmSKw_Qg	2019-03-27	UG1fmSKw_Qg
blind	1	2019-04-04	m5CkAJu9t8E	2019-04-04	m5CkAJu9t8E
fm	1	2019-04-10	gaDNEElK2II	2019-04-10	gaDNEElK2II
10-22	1	2019-04-10	gaDNEElK2II	2019-04-10	gaDNEElK2II
ten tac 22	1	2019-04-10	gaDNEElK2II	2019-04-10	gaDNEElK2II
secret service	1	2019-04-19	__Mx0kpHN-I	2019-04-19	__Mx0kpHN-I
cancer	1	2019-04-19	__Mx0kpHN-I	2019-04-19	__Mx0kpHN-I
standards	1	2019-04-24	sNKpAqto04E	2019-04-24	sNKpAqto04E
rating system	1	2019-04-24	sNKpAqto04E	2019-04-24	sNKpAqto04E
evaluation	1	2019-04-24	sNKpAqto04E	2019-04-24	sNKpAqto04E
answers	1	2019-05-10	Fj_mA4znl4o	2019-05-10	Fj_mA4znl4o
betrayal	1	2019-05-15	HL1LBA6D37E	2019-05-15	HL1LBA6D37E
failure	1	2019-05-15	HL1LBA6D37E	2019-05-15	HL1LBA6D37E
work life balance	1	2019-05-15	HL1LBA6D37E	2019-05-15	HL1LBA6D37E
kamikaze	1	2019-05-22	MFxPmXXSqoQ	2019-05-22	MFxPmXXSqoQ
japan	1	2019-05-22	MFxPmXXSqoQ	2019-05-22	MFxPmXXSqoQ
okinawa	1	2019-05-22	MFxPmXXSqoQ	2019-05-22	MFxPmXXSqoQ
pearl harbor	1	2019-05-22	MFxPmXXSqoQ	2019-05-22	MFxPmXXSqoQ
loyalty	1	2019-05-22	MFxPmXXSqoQ	2019-05-22	MFxPmXXSqoQ
code	1	2019-05-22	MFxPmXXSqoQ	2019-05-22	MFxPmXXSqoQ
honor	2	2019-05-22	MFxPmXXSqoQ	2020-03-12	vt6RmeQa_98
millennials	1	2019-05-31	ReZMTje9_UQ	2019-05-31	ReZMTje9_UQ
mistakes	1	2019-05-31	ReZMTje9_UQ	2019-05-31	ReZMTje9_UQ
stryker	1	2019-06-12	5CnmUAneAxA	2019-06-12	5CnmUAneAxA
sog	6	2019-06-12	5CnmUAneAxA	2020-12-04	1Ca73ynwzTs
baby boomer	1	2019-06-12	5CnmUAneAxA	2019-06-12	5CnmUAneAxA
recon	1	2019-06-20	0xjwJHzwRTo	2019-06-20	0xjwJHzwRTo
jungle	1	2019-06-20	0xjwJHzwRTo	2019-06-20	0xjwJHzwRTo
triple canopy	1	2019-06-20	0xjwJHzwRTo	2019-06-20	0xjwJHzwRTo
novel	1	2019-06-26	snMzYfhXScQ	2019-06-26	snMzYfhXScQ
fiction	1	2019-06-26	snMzYfhXScQ	2019-06-26	snMzYfhXScQ
reading	1	2019-06-26	snMzYfhXScQ	2019-06-26	snMzYfhXScQ
lfa	1	2019-07-11	EKIikKV8leA	2019-07-11	EKIikKV8leA
mitch aguiar	1	2019-07-11	EKIikKV8leA	2019-07-11	EKIikKV8leA
green beret	1	2019-07-19	dXy3rlnGDyo	2019-07-19	dXy3rlnGDyo
no echo	1	2019-07-19	dXy3rlnGDyo	2019-07-19	dXy3rlnGDyo
john stryker meyer	1	2019-07-19	dXy3rlnGDyo	2019-07-19	dXy3rlnGDyo
good deal dave	6	2019-07-25	mjVZQUEdfP0	2020-11-04	GgzzkUquRSs
usmc manual	1	2019-08-05	dpT4GCSvVtA	2019-08-05	dpT4GCSvVtA
usmc	1	2019-08-15	2Wsxxa5jh-I	2019-08-15	2Wsxxa5jh-I
1-3	1	2019-08-15	2Wsxxa5jh-I	2019-08-15	2Wsxxa5jh-I
BTF	1	2019-08-22	NqRZixSmWxI	2019-08-22	NqRZixSmWxI
new hampshire	1	2019-08-22	NqRZixSmWxI	2019-08-22	NqRZixSmWxI
military podcast	1	2019-08-29	SMHcju2eAfw	2019-08-29	SMHcju2eAfw
molk	1	2019-08-29	SMHcju2eAfw	2019-08-29	SMHcju2eAfw
farmington	1	2019-09-12	poEv91uMwKw	2019-09-12	poEv91uMwKw
factory	1	2019-09-12	poEv91uMwKw	2019-09-12	poEv91uMwKw
bjj camp	1	2019-09-12	poEv91uMwKw	2019-09-12	poEv91uMwKw
congress	1	2019-09-20	JNfJtuThfFo	2019-09-20	JNfJtuThfFo
running	1	2019-09-20	JNfJtuThfFo	2019-09-20	JNfJtuThfFo
marathons	1	2019-09-20	JNfJtuThfFo	2019-09-20	JNfJtuThfFo
kersite ennis	1	2019-10-16	5Rql0fwFkYY	2019-10-16	5Rql0fwFkYY
mt everest	1	2019-10-16	5Rql0fwFkYY	2019-10-16	5Rql0fwFkYY
moutain climber	1	2019-10-16	5Rql0fwFkYY	2019-10-16	5Rql0fwFkYY
helicopter	1	2019-10-16	5Rql0fwFkYY	2019-10-16	5Rql0fwFkYY
manion foundation	1	2019-10-31	qFAosAUqyH0	2019-10-31	qFAosAUqyH0
family	1	2019-10-31	qFAosAUqyH0	2019-10-31	qFAosAUqyH0
tarawa	1	2019-11-08	9ATfyouqqeY	2019-11-08	9ATfyouqqeY
98 years old	1	2019-11-08	9ATfyouqqeY	2019-11-08	9ATfyouqqeY
Bill Hampton	1	2019-11-17	4szQOuS2lfU	2019-11-17	4szQOuS2lfU
Kelly Miller	1	2019-11-17	4szQOuS2lfU	2019-11-17	4szQOuS2lfU
John Ferguson	1	2019-11-17	4szQOuS2lfU	2019-11-17	4szQOuS2lfU
Trent Gibson.	1	2019-11-17	4szQOuS2lfU	2019-11-17	4szQOuS2lfU
Marines	1	2019-11-17	4szQOuS2lfU	2019-11-17	4szQOuS2lfU
phd	1	2019-11-21	TlAoAZIAxQI	2019-11-21	TlAoAZIAxQI
macv sog	1	2019-11-27	r70l9Qjzfow	2019-11-27	r70l9Qjzfow
dick thompson	1	2019-11-27	r70l9Qjzfow	2019-11-27	r70l9Qjzfow
